targetId,comparatorId,outcomeId,outcomeName,type
783,792,140168,Psoriasis,outcome
783,792,72418,Scoliosis deformity of spine,outcome
783,792,72576,Benign tumor of breast,outcome
783,792,4131595,Fracture of radius,outcome
783,792,199074,Acute pancreatitis,outcome
783,792,381444,Contusion of eye,outcome
783,792,4153877,Post-traumatic wound infection,outcome
783,792,73300,Radial styloid tenosynovitis,outcome
783,792,433527,Endometriosis (clinical),outcome
783,792,4028970,Tracheobronchitis,outcome
783,792,141933,Alopecia areata,outcome
783,792,74855,Genital herpes simplex,outcome
783,792,40443308,Polycystic ovary syndrome,outcome
783,792,261880,Atelectasis,outcome
783,792,433440,Dysthymia,outcome
783,792,4218106,Alcoholism,outcome
783,792,198075,Condyloma acuminatum of the anogenital region,outcome
783,792,261326,Viral pneumonia,outcome
783,792,140362,Hypoparathyroidism,outcome
783,792,437082,Ankylosing spondylitis,outcome
783,792,4288544,Inguinal hernia,outcome
783,792,4304008,Memory impairment,outcome
783,792,440814,Torticollis,outcome
783,792,253796,Pneumothorax,outcome
783,792,433450,Paranoid schizophrenia,outcome
783,792,4239381,Psychoactive substance abuse,outcome
783,792,4223947,"Viral hepatitis, type A",outcome
783,792,435093,Closed fracture of femur,outcome
783,792,4207307,Infective meningitis,outcome
783,792,432590,Delusional disorder,outcome
783,792,30441,Sialolithiasis,outcome
783,792,134765,Cachexia,outcome
783,792,81336,Rectal prolapse,outcome
783,792,4114197,Tumor of hypothalamus,outcome
783,792,436676,Posttraumatic stress disorder,outcome
783,792,4092565,Uterine prolapse,outcome
783,792,198202,Cystocele,outcome
783,792,195212,Hypercortisolism,outcome
783,792,316457,Mallory-Weiss syndrome,outcome
783,792,192606,Paraplegia,outcome
783,792,374655,Mastoiditis,outcome
783,792,436675,Anorexia nervosa,outcome
783,792,4001458,Fatigue fracture of vertebra,outcome
783,792,380395,Retinal dystrophy,outcome
783,792,197036,Vesicoureteric reflux,outcome
783,792,4299544,Acanthosis nigricans,outcome
783,792,376132,Ectropion,outcome
783,792,80509,Bone cyst,outcome
783,792,438407,Bulimia nervosa,outcome
783,792,4339088,Testicular mass,outcome
816,817,318800,Gastroesophageal reflux disease,outcome
816,817,133228,Dental caries,outcome
816,817,376707,Acute conjunctivitis,outcome
816,817,75576,Irritable bowel syndrome,outcome
816,817,435613,Cellulitis,outcome
816,817,378424,Astigmatism,outcome
816,817,139902,Allergic urticaria,outcome
816,817,380731,Otitis externa,outcome
816,817,141323,Acute maxillary sinusitis,outcome
816,817,4079750,Osteoarthritis of knee,outcome
816,817,4150372,Acute otitis media,outcome
816,817,440129,Hypertrophy of nasal turbinates,outcome
816,817,4215978,Onychomycosis,outcome
816,817,4164337,Polyp of large intestine,outcome
816,817,381581,Chalazion,outcome
816,817,4108467,Burn of skin,outcome
816,817,374366,Sensorineural hearing loss,outcome
816,817,439840,Lymphangitis,outcome
816,817,138463,Aphthous ulcer of mouth,outcome
816,817,81878,Benign paroxysmal positional vertigo,outcome
816,817,377910,Deviated nasal septum,outcome
816,817,134453,Bursitis,outcome
816,817,201792,Nongonococcal urethritis,outcome
816,817,194997,Prostatitis,outcome
816,817,373478,Presbyopia,outcome
816,817,4142905,Fracture of rib,outcome
816,817,444367,Cholelithiasis without obstruction,outcome
816,817,194696,Dysmenorrhea,outcome
816,817,4049417,Vesicular eczema,outcome
816,817,380094,Carpal tunnel syndrome,outcome
816,817,140168,Psoriasis,outcome
816,817,72418,Scoliosis deformity of spine,outcome
816,817,72576,Benign tumor of breast,outcome
816,817,4131595,Fracture of radius,outcome
816,817,199074,Acute pancreatitis,outcome
816,817,381444,Contusion of eye,outcome
816,817,4153877,Post-traumatic wound infection,outcome
816,817,73300,Radial styloid tenosynovitis,outcome
816,817,433527,Endometriosis (clinical),outcome
816,817,4028970,Tracheobronchitis,outcome
816,817,141933,Alopecia areata,outcome
816,817,74855,Genital herpes simplex,outcome
816,817,40443308,Polycystic ovary syndrome,outcome
816,817,261880,Atelectasis,outcome
816,817,433440,Dysthymia,outcome
816,817,4218106,Alcoholism,outcome
816,817,198075,Condyloma acuminatum of the anogenital region,outcome
816,817,261326,Viral pneumonia,outcome
816,817,140362,Hypoparathyroidism,outcome
816,817,437082,Ankylosing spondylitis,outcome
816,817,4288544,Inguinal hernia,outcome
816,817,4304008,Memory impairment,outcome
816,817,440814,Torticollis,outcome
816,817,253796,Pneumothorax,outcome
816,817,433450,Paranoid schizophrenia,outcome
816,817,4239381,Psychoactive substance abuse,outcome
816,817,4223947,"Viral hepatitis, type A",outcome
816,817,435093,Closed fracture of femur,outcome
816,817,4207307,Infective meningitis,outcome
816,817,432590,Delusional disorder,outcome
816,817,30441,Sialolithiasis,outcome
816,817,134765,Cachexia,outcome
816,817,81336,Rectal prolapse,outcome
816,817,4114197,Tumor of hypothalamus,outcome
816,817,436676,Posttraumatic stress disorder,outcome
816,817,4092565,Uterine prolapse,outcome
816,817,198202,Cystocele,outcome
816,817,195212,Hypercortisolism,outcome
