targetId,comparatorId,outcomeId,outcomeName,type
784,782,433450,Paranoid schizophrenia,outcome
784,782,4239381,Psychoactive substance abuse,outcome
784,782,4223947,"Viral hepatitis, type A",outcome
784,782,435093,Closed fracture of femur,outcome
784,782,4207307,Infective meningitis,outcome
784,782,432590,Delusional disorder,outcome
784,782,30441,Sialolithiasis,outcome
784,782,134765,Cachexia,outcome
784,782,81336,Rectal prolapse,outcome
784,782,4114197,Tumor of hypothalamus,outcome
784,782,436676,Posttraumatic stress disorder,outcome
784,782,4092565,Uterine prolapse,outcome
784,782,198202,Cystocele,outcome
784,782,195212,Hypercortisolism,outcome
784,782,316457,Mallory-Weiss syndrome,outcome
784,782,192606,Paraplegia,outcome
784,782,374655,Mastoiditis,outcome
784,782,436675,Anorexia nervosa,outcome
784,782,4001458,Fatigue fracture of vertebra,outcome
784,782,380395,Retinal dystrophy,outcome
784,782,197036,Vesicoureteric reflux,outcome
784,782,4299544,Acanthosis nigricans,outcome
784,782,376132,Ectropion,outcome
784,782,80509,Bone cyst,outcome
784,782,438407,Bulimia nervosa,outcome
784,782,4339088,Testicular mass,outcome
820,818,318800,Gastroesophageal reflux disease,outcome
820,818,133228,Dental caries,outcome
820,818,376707,Acute conjunctivitis,outcome
820,818,75576,Irritable bowel syndrome,outcome
820,818,435613,Cellulitis,outcome
820,818,378424,Astigmatism,outcome
